"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Aceitação","Usuário","Editar Status Usuário","0","0","3","0","0"
"Aceitação","Dia não útil","Deletar dia não útil","0","0","3","0","0"
"Aceitação","Edição","Editar Edição","0","0","12","0","0"
"Aceitação","Edição","Criar Edição","0","0","11","0","0"
"Aceitação","Dia não útil","Criar dia não útil","0","0","4","0","0"
"Aceitação","Area Envolvida","Criar Area Envolvida","0","0","3","0","0"
"Aceitação","Dia não útil","Editar dia não útil","0","0","5","0","0"
"Aceitação","Edição","Clonar Edição","0","0","3","0","0"
"Aceitação","Usuário","Criar Usuário","0","0","9","0","0"
"Aceitação","Usuário","Editar Perfil Usuário","0","0","7","0","0"
"Aceitação","Etapa","Listar Etapa por Id","0","0","3","0","0"
"Aceitação","Login","Fazer Login","0","0","6","0","0"
"Aceitação","Processo","Criar Processo","0","0","6","0","0"
"Aceitação","Dia não útil","Listar dia não útil","0","0","2","0","0"
"Aceitação","Etapa","Criar Etapa","0","0","4","0","0"
"Aceitação","Edição","Editar Status Edição","0","0","3","0","0"
"Aceitação","Calendário","Listar Calendario Geral Edição","0","0","3","0","0"
"Aceitação","Etapa","Listar Etapa","0","0","2","0","0"
"Aceitação","Edição","Deletar Edição","0","0","3","0","0"
"Aceitação","Usuário","Editar Cadastro Usuário","0","0","7","0","0"
"Aceitação","Responsavel","Criar Responsavel","0","0","3","0","0"
"Aceitação","Area Envolvida","Deletar Area Envolvida","0","0","3","0","0"
"Contrato","Etapa","Listar Etapas","0","0","1","0","0"
"Aceitação","Processo","Deletar Processo","0","0","2","0","0"
"Aceitação","Etapa","Deletar Etapa","0","0","3","0","0"
"Aceitação","Area Envolvida","Listar Area Envolvida","0","0","2","0","0"
"Contrato","Calendário","Listar Calendário Geral","0","0","1","0","0"
"Aceitação","Edição","Listar Edição","0","0","2","0","0"
"Aceitação","Usuário","Deletar Usuário","0","0","3","0","0"
"Aceitação","Responsavel","Deletar Responsavel","0","0","3","0","0"
"Aceitação","Usuário","Listar Usuários","0","0","2","0","0"
"Aceitação","Etapa","Editar Etapa","0","0","5","0","0"
"Contrato","Edição","Listar Edição","0","0","1","0","0"
"Contrato","Usuário","Listar Usuários","0","0","1","0","0"
"Aceitação","Responsavel","Listar Responsaveis","0","0","2","0","0"
"Contrato","Dia não útil","Listar Dias não úteis","0","0","1","0","0"
"Contrato","Area Envolvida","Listar Areas Envolvidas","0","0","1","0","0"
"Contrato","Responsavel","Listar Responsáveis","0","0","1","0","0"
"Contrato","Processo","Listar Processos","0","0","1","0","0"
